com_id,communities,person_id
0,Immuno-disorders,7
1,Sex-Positive,7
2,Veterans,7
3,Non-Binary Allied,7
4,Queer Allied,7
5,Lesbian Allied,7
6,Vegan Allied,7
7,HIV / AIDS Allied,7
8,Bisexual Allied,7
9,Transgender Allied,7
10,Racial Justice Allied,7
11,Kink Allied,7
12,Single Mother,7
13,Sex Worker Allied,7
14,Little Person Allied,7
15,Intersex Allied,7
16,Body Positivity,7
19,Gay Allied,7
21,Open Relationships Non-Monogamy,7
22,Cancer,7
5,Lesbian Allied,9
7,HIV / AIDS Allied,9
8,Bisexual Allied,9
19,Gay Allied,9
2,Veterans,11
5,Lesbian Allied,12
19,Gay Allied,12
4,Queer Allied,13
9,Transgender Allied,13
16,Body Positivity,13
5,Lesbian Allied,14
8,Bisexual Allied,14
20,Aviation Professionals,14
2,Veterans,16
5,Lesbian Allied,17
8,Bisexual Allied,17
19,Gay Allied,17
1,Sex-Positive,18
3,Non-Binary Allied,18
4,Queer Allied,18
5,Lesbian Allied,18
8,Bisexual Allied,18
9,Transgender Allied,18
11,Kink Allied,18
19,Gay Allied,18
21,Open Relationships Non-Monogamy,18
1,Sex-Positive,19
3,Non-Binary Allied,19
4,Queer Allied,19
5,Lesbian Allied,19
7,HIV / AIDS Allied,19
8,Bisexual Allied,19
9,Transgender Allied,19
10,Racial Justice Allied,19
11,Kink Allied,19
13,Sex Worker Allied,19
15,Intersex Allied,19
19,Gay Allied,19
21,Open Relationships Non-Monogamy,19
2,Veterans,20
3,Non-Binary Allied,20
4,Queer Allied,20
5,Lesbian Allied,20
8,Bisexual Allied,20
9,Transgender Allied,20
12,Single Mother,20
15,Intersex Allied,20
19,Gay Allied,20
21,Open Relationships Non-Monogamy,20
10,Racial Justice Allied,22
1,Sex-Positive,28
3,Non-Binary Allied,28
4,Queer Allied,28
5,Lesbian Allied,28
6,Vegan Allied,28
7,HIV / AIDS Allied,28
8,Bisexual Allied,28
9,Transgender Allied,28
10,Racial Justice Allied,28
11,Kink Allied,28
13,Sex Worker Allied,28
15,Intersex Allied,28
16,Body Positivity,28
19,Gay Allied,28
21,Open Relationships Non-Monogamy,28
2,Veterans,29
10,Racial Justice Allied,29
2,Veterans,30
4,Queer Allied,30
5,Lesbian Allied,30
9,Transgender Allied,30
10,Racial Justice Allied,30
16,Body Positivity,30
19,Gay Allied,30
5,Lesbian Allied,32
8,Bisexual Allied,32
9,Transgender Allied,32
19,Gay Allied,32
3,Non-Binary Allied,34
5,Lesbian Allied,34
7,HIV / AIDS Allied,34
8,Bisexual Allied,34
9,Transgender Allied,34
10,Racial Justice Allied,34
16,Body Positivity,34
19,Gay Allied,34
5,Lesbian Allied,36
8,Bisexual Allied,36
9,Transgender Allied,36
19,Gay Allied,36
2,Veterans,38
3,Non-Binary Allied,38
4,Queer Allied,38
5,Lesbian Allied,38
9,Transgender Allied,38
10,Racial Justice Allied,38
15,Intersex Allied,38
19,Gay Allied,38
1,Sex-Positive,39
3,Non-Binary Allied,39
4,Queer Allied,39
5,Lesbian Allied,39
8,Bisexual Allied,39
9,Transgender Allied,39
10,Racial Justice Allied,39
11,Kink Allied,39
12,Single Mother,39
13,Sex Worker Allied,39
16,Body Positivity,39
19,Gay Allied,39
4,Queer Allied,41
5,Lesbian Allied,41
7,HIV / AIDS Allied,41
8,Bisexual Allied,41
9,Transgender Allied,41
15,Intersex Allied,41
19,Gay Allied,41
22,Cancer,41
2,Veterans,42
10,Racial Justice Allied,42
19,Gay Allied,42
21,Open Relationships Non-Monogamy,42
2,Veterans,43
10,Racial Justice Allied,43
5,Lesbian Allied,44
16,Body Positivity,44
19,Gay Allied,44
5,Lesbian Allied,45
8,Bisexual Allied,45
9,Transgender Allied,45
10,Racial Justice Allied,45
16,Body Positivity,45
19,Gay Allied,45
2,Veterans,46
10,Racial Justice Allied,46
16,Body Positivity,46
22,Cancer,46
19,Gay Allied,47
22,Cancer,47
3,Non-Binary Allied,49
4,Queer Allied,49
5,Lesbian Allied,49
9,Transgender Allied,49
19,Gay Allied,49
2,Veterans,51
3,Non-Binary Allied,51
4,Queer Allied,51
5,Lesbian Allied,51
6,Vegan Allied,51
7,HIV / AIDS Allied,51
8,Bisexual Allied,51
12,Single Mother,51
19,Gay Allied,51
22,Cancer,51
1,Sex-Positive,52
3,Non-Binary Allied,52
4,Queer Allied,52
9,Transgender Allied,52
10,Racial Justice Allied,52
11,Kink Allied,52
16,Body Positivity,52
2,Veterans,54
3,Non-Binary Allied,54
4,Queer Allied,54
5,Lesbian Allied,54
8,Bisexual Allied,54
9,Transgender Allied,54
10,Racial Justice Allied,54
19,Gay Allied,54
21,Open Relationships Non-Monogamy,54
2,Veterans,55
5,Lesbian Allied,55
7,HIV / AIDS Allied,55
8,Bisexual Allied,55
9,Transgender Allied,55
19,Gay Allied,55
20,Aviation Professionals,55
22,Cancer,55
1,Sex-Positive,56
3,Non-Binary Allied,56
4,Queer Allied,56
5,Lesbian Allied,56
8,Bisexual Allied,56
9,Transgender Allied,56
10,Racial Justice Allied,56
11,Kink Allied,56
12,Single Mother,56
15,Intersex Allied,56
16,Body Positivity,56
19,Gay Allied,56
21,Open Relationships Non-Monogamy,56
0,Immuno-disorders,57
1,Sex-Positive,57
2,Veterans,57
3,Non-Binary Allied,57
4,Queer Allied,57
5,Lesbian Allied,57
8,Bisexual Allied,57
10,Racial Justice Allied,57
11,Kink Allied,57
13,Sex Worker Allied,57
16,Body Positivity,57
19,Gay Allied,57
21,Open Relationships Non-Monogamy,57
22,Cancer,57
19,Gay Allied,59
3,Non-Binary Allied,61
4,Queer Allied,61
5,Lesbian Allied,61
6,Vegan Allied,61
8,Bisexual Allied,61
10,Racial Justice Allied,61
12,Single Mother,61
15,Intersex Allied,61
19,Gay Allied,61
6,Vegan Allied,62
22,Cancer,62
1,Sex-Positive,63
2,Veterans,63
3,Non-Binary Allied,63
4,Queer Allied,63
5,Lesbian Allied,63
7,HIV / AIDS Allied,63
8,Bisexual Allied,63
9,Transgender Allied,63
10,Racial Justice Allied,63
11,Kink Allied,63
13,Sex Worker Allied,63
15,Intersex Allied,63
16,Body Positivity,63
19,Gay Allied,63
21,Open Relationships Non-Monogamy,63
1,Sex-Positive,66
7,HIV / AIDS Allied,66
8,Bisexual Allied,66
11,Kink Allied,66
13,Sex Worker Allied,66
5,Lesbian Allied,67
19,Gay Allied,67
1,Sex-Positive,70
3,Non-Binary Allied,70
4,Queer Allied,70
9,Transgender Allied,70
11,Kink Allied,70
9,Transgender Allied,72
22,Cancer,72
0,Immuno-disorders,74
1,Sex-Positive,74
2,Veterans,74
3,Non-Binary Allied,74
4,Queer Allied,74
5,Lesbian Allied,74
6,Vegan Allied,74
7,HIV / AIDS Allied,74
8,Bisexual Allied,74
9,Transgender Allied,74
10,Racial Justice Allied,74
11,Kink Allied,74
12,Single Mother,74
13,Sex Worker Allied,74
15,Intersex Allied,74
16,Body Positivity,74
19,Gay Allied,74
21,Open Relationships Non-Monogamy,74
22,Cancer,74
5,Lesbian Allied,75
19,Gay Allied,75
22,Cancer,75
2,Veterans,76
20,Aviation Professionals,76
22,Cancer,76
0,Immuno-disorders,77
4,Queer Allied,77
16,Body Positivity,77
19,Gay Allied,77
2,Veterans,79
4,Queer Allied,82
4,Queer Allied,84
5,Lesbian Allied,84
9,Transgender Allied,84
10,Racial Justice Allied,84
12,Single Mother,84
14,Little Person Allied,84
19,Gay Allied,84
22,Cancer,84
22,Cancer,86
2,Veterans,87
4,Queer Allied,87
12,Single Mother,87
19,Gay Allied,87
22,Cancer,87
0,Immuno-disorders,89
16,Body Positivity,89
22,Cancer,89
5,Lesbian Allied,91
8,Bisexual Allied,91
9,Transgender Allied,91
19,Gay Allied,91
0,Immuno-disorders,92
1,Sex-Positive,92
3,Non-Binary Allied,92
4,Queer Allied,92
5,Lesbian Allied,92
6,Vegan Allied,92
8,Bisexual Allied,92
9,Transgender Allied,92
10,Racial Justice Allied,92
11,Kink Allied,92
13,Sex Worker Allied,92
16,Body Positivity,92
19,Gay Allied,92
21,Open Relationships Non-Monogamy,92
4,Queer Allied,94
9,Transgender Allied,94
10,Racial Justice Allied,94
5,Lesbian Allied,95
9,Transgender Allied,95
12,Single Mother,95
3,Non-Binary Allied,97
5,Lesbian Allied,97
7,HIV / AIDS Allied,97
8,Bisexual Allied,97
19,Gay Allied,97
21,Open Relationships Non-Monogamy,97
22,Cancer,97
5,Lesbian Allied,98
19,Gay Allied,98
22,Cancer,98
1,Sex-Positive,101
3,Non-Binary Allied,101
4,Queer Allied,101
5,Lesbian Allied,101
8,Bisexual Allied,101
9,Transgender Allied,101
10,Racial Justice Allied,101
11,Kink Allied,101
12,Single Mother,101
13,Sex Worker Allied,101
15,Intersex Allied,101
19,Gay Allied,101
21,Open Relationships Non-Monogamy,101
4,Queer Allied,107
2,Veterans,108
5,Lesbian Allied,108
7,HIV / AIDS Allied,108
8,Bisexual Allied,108
9,Transgender Allied,108
19,Gay Allied,108
3,Non-Binary Allied,110
4,Queer Allied,110
5,Lesbian Allied,110
7,HIV / AIDS Allied,110
8,Bisexual Allied,110
9,Transgender Allied,110
10,Racial Justice Allied,110
13,Sex Worker Allied,110
15,Intersex Allied,110
16,Body Positivity,110
19,Gay Allied,110
4,Queer Allied,111
8,Bisexual Allied,111
12,Single Mother,111
13,Sex Worker Allied,111
19,Gay Allied,111
2,Veterans,112
10,Racial Justice Allied,112
12,Single Mother,112
0,Immuno-disorders,115
1,Sex-Positive,115
2,Veterans,115
3,Non-Binary Allied,115
4,Queer Allied,115
5,Lesbian Allied,115
6,Vegan Allied,115
7,HIV / AIDS Allied,115
8,Bisexual Allied,115
9,Transgender Allied,115
10,Racial Justice Allied,115
11,Kink Allied,115
12,Single Mother,115
15,Intersex Allied,115
16,Body Positivity,115
19,Gay Allied,115
21,Open Relationships Non-Monogamy,115
1,Sex-Positive,116
3,Non-Binary Allied,116
4,Queer Allied,116
5,Lesbian Allied,116
7,HIV / AIDS Allied,116
8,Bisexual Allied,116
9,Transgender Allied,116
10,Racial Justice Allied,116
11,Kink Allied,116
13,Sex Worker Allied,116
16,Body Positivity,116
19,Gay Allied,116
21,Open Relationships Non-Monogamy,116
1,Sex-Positive,118
4,Queer Allied,118
9,Transgender Allied,118
10,Racial Justice Allied,118
11,Kink Allied,118
16,Body Positivity,118
2,Veterans,119
22,Cancer,119
5,Lesbian Allied,120
7,HIV / AIDS Allied,120
8,Bisexual Allied,120
19,Gay Allied,120
5,Lesbian Allied,123
7,HIV / AIDS Allied,123
8,Bisexual Allied,123
19,Gay Allied,123
0,Immuno-disorders,124
1,Sex-Positive,124
3,Non-Binary Allied,124
4,Queer Allied,124
5,Lesbian Allied,124
7,HIV / AIDS Allied,124
8,Bisexual Allied,124
9,Transgender Allied,124
10,Racial Justice Allied,124
11,Kink Allied,124
13,Sex Worker Allied,124
15,Intersex Allied,124
16,Body Positivity,124
19,Gay Allied,124
21,Open Relationships Non-Monogamy,124
5,Lesbian Allied,125
8,Bisexual Allied,125
19,Gay Allied,125
0,Immuno-disorders,126
12,Single Mother,126
16,Body Positivity,126
2,Veterans,130
5,Lesbian Allied,130
7,HIV / AIDS Allied,130
8,Bisexual Allied,130
9,Transgender Allied,130
19,Gay Allied,130
22,Cancer,130
2,Veterans,133
5,Lesbian Allied,133
8,Bisexual Allied,133
19,Gay Allied,133
20,Aviation Professionals,135
21,Open Relationships Non-Monogamy,135
10,Racial Justice Allied,136
5,Lesbian Allied,137
8,Bisexual Allied,137
9,Transgender Allied,137
19,Gay Allied,137
21,Open Relationships Non-Monogamy,137
22,Cancer,137
12,Single Mother,139
1,Sex-Positive,141
3,Non-Binary Allied,141
4,Queer Allied,141
5,Lesbian Allied,141
7,HIV / AIDS Allied,141
8,Bisexual Allied,141
9,Transgender Allied,141
11,Kink Allied,141
16,Body Positivity,141
19,Gay Allied,141
21,Open Relationships Non-Monogamy,141
1,Sex-Positive,142
2,Veterans,142
3,Non-Binary Allied,142
4,Queer Allied,142
5,Lesbian Allied,142
7,HIV / AIDS Allied,142
8,Bisexual Allied,142
9,Transgender Allied,142
10,Racial Justice Allied,142
11,Kink Allied,142
12,Single Mother,142
13,Sex Worker Allied,142
15,Intersex Allied,142
16,Body Positivity,142
19,Gay Allied,142
21,Open Relationships Non-Monogamy,142
22,Cancer,142
2,Veterans,144
1,Sex-Positive,145
3,Non-Binary Allied,145
4,Queer Allied,145
5,Lesbian Allied,145
8,Bisexual Allied,145
9,Transgender Allied,145
10,Racial Justice Allied,145
11,Kink Allied,145
12,Single Mother,145
13,Sex Worker Allied,145
15,Intersex Allied,145
16,Body Positivity,145
19,Gay Allied,145
10,Racial Justice Allied,147
12,Single Mother,147
1,Sex-Positive,151
3,Non-Binary Allied,151
4,Queer Allied,151
5,Lesbian Allied,151
7,HIV / AIDS Allied,151
9,Transgender Allied,151
10,Racial Justice Allied,151
11,Kink Allied,151
13,Sex Worker Allied,151
16,Body Positivity,151
19,Gay Allied,151
21,Open Relationships Non-Monogamy,151
22,Cancer,151
12,Single Mother,152
16,Body Positivity,152
22,Cancer,152
3,Non-Binary Allied,153
4,Queer Allied,153
5,Lesbian Allied,153
8,Bisexual Allied,153
16,Body Positivity,153
19,Gay Allied,153
12,Single Mother,154
5,Lesbian Allied,157
8,Bisexual Allied,157
19,Gay Allied,157
2,Veterans,158
5,Lesbian Allied,158
8,Bisexual Allied,158
9,Transgender Allied,158
19,Gay Allied,158
5,Lesbian Allied,161
9,Transgender Allied,161
19,Gay Allied,161
9,Transgender Allied,162
0,Immuno-disorders,166
2,Veterans,166
3,Non-Binary Allied,166
4,Queer Allied,166
9,Transgender Allied,166
10,Racial Justice Allied,166
12,Single Mother,166
16,Body Positivity,166
19,Gay Allied,166
1,Sex-Positive,169
3,Non-Binary Allied,169
4,Queer Allied,169
5,Lesbian Allied,169
8,Bisexual Allied,169
9,Transgender Allied,169
10,Racial Justice Allied,169
11,Kink Allied,169
12,Single Mother,169
13,Sex Worker Allied,169
15,Intersex Allied,169
16,Body Positivity,169
19,Gay Allied,169
2,Veterans,171
5,Lesbian Allied,171
7,HIV / AIDS Allied,171
8,Bisexual Allied,171
9,Transgender Allied,171
19,Gay Allied,171
1,Sex-Positive,172
2,Veterans,172
7,HIV / AIDS Allied,172
8,Bisexual Allied,172
10,Racial Justice Allied,172
11,Kink Allied,172
19,Gay Allied,172
21,Open Relationships Non-Monogamy,172
1,Sex-Positive,174
2,Veterans,174
3,Non-Binary Allied,174
4,Queer Allied,174
5,Lesbian Allied,174
7,HIV / AIDS Allied,174
8,Bisexual Allied,174
9,Transgender Allied,174
10,Racial Justice Allied,174
11,Kink Allied,174
15,Intersex Allied,174
16,Body Positivity,174
19,Gay Allied,174
21,Open Relationships Non-Monogamy,174
3,Non-Binary Allied,176
4,Queer Allied,176
5,Lesbian Allied,176
7,HIV / AIDS Allied,176
8,Bisexual Allied,176
9,Transgender Allied,176
10,Racial Justice Allied,176
13,Sex Worker Allied,176
16,Body Positivity,176
19,Gay Allied,176
1,Sex-Positive,177
3,Non-Binary Allied,177
4,Queer Allied,177
5,Lesbian Allied,177
6,Vegan Allied,177
7,HIV / AIDS Allied,177
8,Bisexual Allied,177
9,Transgender Allied,177
10,Racial Justice Allied,177
11,Kink Allied,177
12,Single Mother,177
13,Sex Worker Allied,177
15,Intersex Allied,177
16,Body Positivity,177
19,Gay Allied,177
21,Open Relationships Non-Monogamy,177
2,Veterans,178
4,Queer Allied,181
5,Lesbian Allied,181
8,Bisexual Allied,181
9,Transgender Allied,181
10,Racial Justice Allied,181
16,Body Positivity,181
12,Single Mother,182
22,Cancer,182
0,Immuno-disorders,184
2,Veterans,184
3,Non-Binary Allied,184
4,Queer Allied,184
5,Lesbian Allied,184
6,Vegan Allied,184
7,HIV / AIDS Allied,184
8,Bisexual Allied,184
9,Transgender Allied,184
10,Racial Justice Allied,184
12,Single Mother,184
13,Sex Worker Allied,184
15,Intersex Allied,184
16,Body Positivity,184
19,Gay Allied,184
21,Open Relationships Non-Monogamy,184
22,Cancer,184
2,Veterans,186
3,Non-Binary Allied,186
4,Queer Allied,186
5,Lesbian Allied,186
6,Vegan Allied,186
7,HIV / AIDS Allied,186
8,Bisexual Allied,186
9,Transgender Allied,186
10,Racial Justice Allied,186
13,Sex Worker Allied,186
15,Intersex Allied,186
19,Gay Allied,186
21,Open Relationships Non-Monogamy,186
5,Lesbian Allied,188
6,Vegan Allied,188
8,Bisexual Allied,188
12,Single Mother,188
16,Body Positivity,188
19,Gay Allied,188
20,Aviation Professionals,188
21,Open Relationships Non-Monogamy,188
2,Veterans,192
2,Veterans,193
5,Lesbian Allied,193
7,HIV / AIDS Allied,193
12,Single Mother,193
19,Gay Allied,193
22,Cancer,193
2,Veterans,195
22,Cancer,198
1,Sex-Positive,199
2,Veterans,199
4,Queer Allied,199
5,Lesbian Allied,199
8,Bisexual Allied,199
9,Transgender Allied,199
11,Kink Allied,199
12,Single Mother,199
13,Sex Worker Allied,199
16,Body Positivity,199
19,Gay Allied,199
20,Aviation Professionals,199
21,Open Relationships Non-Monogamy,199
3,Non-Binary Allied,200
4,Queer Allied,200
5,Lesbian Allied,200
12,Single Mother,200
19,Gay Allied,200
22,Cancer,200
5,Lesbian Allied,201
8,Bisexual Allied,201
9,Transgender Allied,201
19,Gay Allied,201
6,Vegan Allied,203
12,Single Mother,203
16,Body Positivity,203
2,Veterans,207
3,Non-Binary Allied,207
4,Queer Allied,207
5,Lesbian Allied,207
7,HIV / AIDS Allied,207
8,Bisexual Allied,207
9,Transgender Allied,207
10,Racial Justice Allied,207
15,Intersex Allied,207
16,Body Positivity,207
19,Gay Allied,207
21,Open Relationships Non-Monogamy,207
0,Immuno-disorders,208
22,Cancer,208
1,Sex-Positive,209
3,Non-Binary Allied,209
4,Queer Allied,209
6,Vegan Allied,209
9,Transgender Allied,209
10,Racial Justice Allied,209
11,Kink Allied,209
13,Sex Worker Allied,209
15,Intersex Allied,209
16,Body Positivity,209
19,Gay Allied,209
21,Open Relationships Non-Monogamy,209
22,Cancer,209
2,Veterans,214
10,Racial Justice Allied,214
22,Cancer,214
2,Veterans,215
5,Lesbian Allied,215
19,Gay Allied,215
7,HIV / AIDS Allied,216
8,Bisexual Allied,216
1,Sex-Positive,217
3,Non-Binary Allied,217
4,Queer Allied,217
5,Lesbian Allied,217
10,Racial Justice Allied,217
11,Kink Allied,217
12,Single Mother,217
13,Sex Worker Allied,217
15,Intersex Allied,217
16,Body Positivity,217
21,Open Relationships Non-Monogamy,217
5,Lesbian Allied,220
8,Bisexual Allied,220
9,Transgender Allied,220
19,Gay Allied,220
3,Non-Binary Allied,221
4,Queer Allied,221
5,Lesbian Allied,221
7,HIV / AIDS Allied,221
8,Bisexual Allied,221
9,Transgender Allied,221
12,Single Mother,221
16,Body Positivity,221
19,Gay Allied,221
5,Lesbian Allied,224
7,HIV / AIDS Allied,224
8,Bisexual Allied,224
9,Transgender Allied,224
19,Gay Allied,224
22,Cancer,224
5,Lesbian Allied,225
8,Bisexual Allied,225
19,Gay Allied,225
22,Cancer,226
0,Immuno-disorders,228
1,Sex-Positive,228
2,Veterans,228
3,Non-Binary Allied,228
4,Queer Allied,228
5,Lesbian Allied,228
7,HIV / AIDS Allied,228
9,Transgender Allied,228
10,Racial Justice Allied,228
11,Kink Allied,228
12,Single Mother,228
13,Sex Worker Allied,228
15,Intersex Allied,228
16,Body Positivity,228
17,Blind Allied,228
19,Gay Allied,228
22,Cancer,228
2,Veterans,231
22,Cancer,231
5,Lesbian Allied,233
7,HIV / AIDS Allied,233
8,Bisexual Allied,233
9,Transgender Allied,233
19,Gay Allied,233
20,Aviation Professionals,233
22,Cancer,233
8,Bisexual Allied,234
1,Sex-Positive,235
3,Non-Binary Allied,235
4,Queer Allied,235
5,Lesbian Allied,235
6,Vegan Allied,235
7,HIV / AIDS Allied,235
8,Bisexual Allied,235
9,Transgender Allied,235
10,Racial Justice Allied,235
11,Kink Allied,235
12,Single Mother,235
13,Sex Worker Allied,235
15,Intersex Allied,235
16,Body Positivity,235
19,Gay Allied,235
21,Open Relationships Non-Monogamy,235
0,Immuno-disorders,238
7,HIV / AIDS Allied,238
8,Bisexual Allied,238
9,Transgender Allied,238
12,Single Mother,238
21,Open Relationships Non-Monogamy,238
2,Veterans,239
5,Lesbian Allied,241
8,Bisexual Allied,241
9,Transgender Allied,241
19,Gay Allied,241
5,Lesbian Allied,243
8,Bisexual Allied,243
9,Transgender Allied,243
19,Gay Allied,243
5,Lesbian Allied,244
12,Single Mother,244
19,Gay Allied,244
5,Lesbian Allied,253
7,HIV / AIDS Allied,253
8,Bisexual Allied,253
12,Single Mother,253
19,Gay Allied,253
22,Cancer,253
19,Gay Allied,256
2,Veterans,257
5,Lesbian Allied,257
8,Bisexual Allied,257
16,Body Positivity,257
19,Gay Allied,257
2,Veterans,258
3,Non-Binary Allied,258
4,Queer Allied,258
5,Lesbian Allied,258
6,Vegan Allied,258
7,HIV / AIDS Allied,258
8,Bisexual Allied,258
9,Transgender Allied,258
10,Racial Justice Allied,258
16,Body Positivity,258
19,Gay Allied,258
21,Open Relationships Non-Monogamy,258
22,Cancer,258
2,Veterans,259
3,Non-Binary Allied,259
4,Queer Allied,259
5,Lesbian Allied,259
7,HIV / AIDS Allied,259
8,Bisexual Allied,259
9,Transgender Allied,259
19,Gay Allied,259
22,Cancer,259
22,Cancer,261
2,Veterans,263
3,Non-Binary Allied,263
4,Queer Allied,263
5,Lesbian Allied,263
7,HIV / AIDS Allied,263
8,Bisexual Allied,263
9,Transgender Allied,263
10,Racial Justice Allied,263
15,Intersex Allied,263
16,Body Positivity,263
19,Gay Allied,263
21,Open Relationships Non-Monogamy,263
22,Cancer,263
4,Queer Allied,265
9,Transgender Allied,265
10,Racial Justice Allied,265
2,Veterans,266
5,Lesbian Allied,266
7,HIV / AIDS Allied,266
19,Gay Allied,266
20,Aviation Professionals,266
22,Cancer,266
2,Veterans,268
5,Lesbian Allied,268
7,HIV / AIDS Allied,268
8,Bisexual Allied,268
9,Transgender Allied,268
19,Gay Allied,268
20,Aviation Professionals,268
22,Cancer,268
1,Sex-Positive,269
2,Veterans,269
3,Non-Binary Allied,269
4,Queer Allied,269
8,Bisexual Allied,269
10,Racial Justice Allied,269
11,Kink Allied,269
19,Gay Allied,269
1,Sex-Positive,271
3,Non-Binary Allied,271
4,Queer Allied,271
5,Lesbian Allied,271
7,HIV / AIDS Allied,271
8,Bisexual Allied,271
9,Transgender Allied,271
10,Racial Justice Allied,271
11,Kink Allied,271
13,Sex Worker Allied,271
14,Little Person Allied,271
15,Intersex Allied,271
16,Body Positivity,271
18,Deaf Allied,271
19,Gay Allied,271
21,Open Relationships Non-Monogamy,271
2,Veterans,272
12,Single Mother,272
16,Body Positivity,272
0,Immuno-disorders,276
16,Body Positivity,276
5,Lesbian Allied,280
8,Bisexual Allied,280
9,Transgender Allied,280
10,Racial Justice Allied,280
19,Gay Allied,280
5,Lesbian Allied,282
7,HIV / AIDS Allied,282
8,Bisexual Allied,282
9,Transgender Allied,282
19,Gay Allied,282
20,Aviation Professionals,282
22,Cancer,282
8,Bisexual Allied,283
10,Racial Justice Allied,283
12,Single Mother,283
16,Body Positivity,286
5,Lesbian Allied,289
7,HIV / AIDS Allied,289
8,Bisexual Allied,289
19,Gay Allied,289
22,Cancer,289
5,Lesbian Allied,290
8,Bisexual Allied,290
19,Gay Allied,290
5,Lesbian Allied,292
8,Bisexual Allied,292
9,Transgender Allied,292
19,Gay Allied,292
2,Veterans,293
3,Non-Binary Allied,293
4,Queer Allied,293
5,Lesbian Allied,293
7,HIV / AIDS Allied,293
8,Bisexual Allied,293
9,Transgender Allied,293
15,Intersex Allied,293
16,Body Positivity,293
17,Blind Allied,293
19,Gay Allied,293
22,Cancer,293
1,Sex-Positive,296
3,Non-Binary Allied,296
4,Queer Allied,296
5,Lesbian Allied,296
6,Vegan Allied,296
8,Bisexual Allied,296
9,Transgender Allied,296
10,Racial Justice Allied,296
11,Kink Allied,296
13,Sex Worker Allied,296
16,Body Positivity,296
19,Gay Allied,296
21,Open Relationships Non-Monogamy,296
5,Lesbian Allied,297
7,HIV / AIDS Allied,297
8,Bisexual Allied,297
19,Gay Allied,297
3,Non-Binary Allied,300
4,Queer Allied,300
5,Lesbian Allied,300
7,HIV / AIDS Allied,300
9,Transgender Allied,300
10,Racial Justice Allied,300
13,Sex Worker Allied,300
15,Intersex Allied,300
16,Body Positivity,300
19,Gay Allied,300
21,Open Relationships Non-Monogamy,300
5,Lesbian Allied,301
8,Bisexual Allied,301
19,Gay Allied,301
2,Veterans,304
5,Lesbian Allied,304
7,HIV / AIDS Allied,304
8,Bisexual Allied,304
9,Transgender Allied,304
19,Gay Allied,304
22,Cancer,304
5,Lesbian Allied,305
8,Bisexual Allied,305
19,Gay Allied,305
2,Veterans,306
20,Aviation Professionals,306
1,Sex-Positive,310
4,Queer Allied,310
5,Lesbian Allied,310
7,HIV / AIDS Allied,310
8,Bisexual Allied,310
9,Transgender Allied,310
11,Kink Allied,310
13,Sex Worker Allied,310
15,Intersex Allied,310
16,Body Positivity,310
19,Gay Allied,310
21,Open Relationships Non-Monogamy,310
2,Veterans,311
19,Gay Allied,311
21,Open Relationships Non-Monogamy,311
5,Lesbian Allied,312
10,Racial Justice Allied,312
12,Single Mother,312
16,Body Positivity,312
19,Gay Allied,312
0,Immuno-disorders,317
1,Sex-Positive,317
2,Veterans,317
3,Non-Binary Allied,317
4,Queer Allied,317
5,Lesbian Allied,317
6,Vegan Allied,317
7,HIV / AIDS Allied,317
8,Bisexual Allied,317
9,Transgender Allied,317
10,Racial Justice Allied,317
11,Kink Allied,317
12,Single Mother,317
13,Sex Worker Allied,317
15,Intersex Allied,317
16,Body Positivity,317
19,Gay Allied,317
21,Open Relationships Non-Monogamy,317
2,Veterans,318
3,Non-Binary Allied,318
4,Queer Allied,318
5,Lesbian Allied,318
8,Bisexual Allied,318
16,Body Positivity,318
19,Gay Allied,318
22,Cancer,319
2,Veterans,321
5,Lesbian Allied,321
8,Bisexual Allied,321
19,Gay Allied,321
22,Cancer,321
0,Immuno-disorders,323
3,Non-Binary Allied,323
4,Queer Allied,323
5,Lesbian Allied,323
9,Transgender Allied,323
10,Racial Justice Allied,323
13,Sex Worker Allied,323
16,Body Positivity,323
19,Gay Allied,323
12,Single Mother,329
22,Cancer,329
2,Veterans,331
9,Transgender Allied,331
5,Lesbian Allied,332
8,Bisexual Allied,332
19,Gay Allied,332
1,Sex-Positive,338
3,Non-Binary Allied,338
4,Queer Allied,338
5,Lesbian Allied,338
7,HIV / AIDS Allied,338
8,Bisexual Allied,338
9,Transgender Allied,338
10,Racial Justice Allied,338
11,Kink Allied,338
13,Sex Worker Allied,338
15,Intersex Allied,338
16,Body Positivity,338
19,Gay Allied,338
21,Open Relationships Non-Monogamy,338
10,Racial Justice Allied,339
13,Sex Worker Allied,339
2,Veterans,342
1,Sex-Positive,343
3,Non-Binary Allied,343
4,Queer Allied,343
5,Lesbian Allied,343
6,Vegan Allied,343
7,HIV / AIDS Allied,343
8,Bisexual Allied,343
9,Transgender Allied,343
10,Racial Justice Allied,343
11,Kink Allied,343
13,Sex Worker Allied,343
16,Body Positivity,343
19,Gay Allied,343
21,Open Relationships Non-Monogamy,343
1,Sex-Positive,344
2,Veterans,344
3,Non-Binary Allied,344
4,Queer Allied,344
5,Lesbian Allied,344
6,Vegan Allied,344
7,HIV / AIDS Allied,344
8,Bisexual Allied,344
9,Transgender Allied,344
10,Racial Justice Allied,344
11,Kink Allied,344
13,Sex Worker Allied,344
15,Intersex Allied,344
16,Body Positivity,344
19,Gay Allied,344
21,Open Relationships Non-Monogamy,344
10,Racial Justice Allied,346
